GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.rental,VehicleRentalApplication,5,3,0,0,2,1,1,1,1,1
,com.rental.service,AuthService,25,152,3,5,4,32,4,6,1,5
,com.rental.service,VehicleService,30,194,18,18,2,42,13,14,0,9
,com.rental.service,BookingService,2,263,2,18,0,57,2,15,0,7
,com.rental.model,Vehicle.VehicleType,0,15,0,0,0,1,0,1,0,1
,com.rental.model,Booking.BookingStatus,0,15,0,0,0,2,0,1,0,1
,com.rental.model,User.Role,0,21,0,0,0,1,0,1,0,1
,com.rental.controller,AuthController,0,12,0,0,0,2,0,2,0,2
,com.rental.controller,VehicleController,0,37,0,0,0,6,0,5,0,5
,com.rental.controller,HomeController,2,3,0,0,1,1,1,1,1,1
,com.rental.controller,BookingController,0,25,0,0,0,5,0,4,0,4
,com.rental.exception,UnauthorizedAccessException,0,4,0,0,0,2,0,1,0,1
,com.rental.exception,GlobalExceptionHandler,0,106,0,0,0,26,0,6,0,6
,com.rental.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.rental.exception,RentalException,0,4,0,0,0,2,0,1,0,1
,com.rental.security,JwtUtil,3,60,0,0,1,15,0,6,0,6
,com.rental.security,JwtAuthFilter,5,54,2,4,2,13,2,2,0,1
,com.rental.dto,BookingResponse,0,21,0,0,0,8,0,1,0,1
,com.rental.dto,ErrorResponse,0,33,0,0,0,14,0,7,0,7
,com.rental.util,Constants,3,0,0,0,1,0,1,0,1,0
,com.rental.config,SecurityConfig,0,228,0,0,0,29,0,7,0,7
